_id,Publication_Year,Health_Indicator_Desc,County,Denominator_Total,Numerator_Total,Rate Per 1000 Population
400,2023,Deaths Due to Diabetes,San Joaquin,776068,675,0.000869769
505,2023,Deaths Due to Coronary Heart Disease,San Joaquin,776068,1927,0.00248303
745,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,San Joaquin,776068,467,0.000601751
84,2023,Deaths Due to All Cancers,San Luis Obispo,276151,1637,0.005927916
365,2023,Deaths Due to Diabetes,San Luis Obispo,276151,164,0.000593878
480,2023,Deaths Due to Coronary Heart Disease,San Luis Obispo,276151,708,0.002563815
733,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,San Luis Obispo,276151,158,0.000572151
62,2023,Deaths Due to All Cancers,San Mateo,775132,3321,0.004284432
359,2023,Deaths Due to Diabetes,San Mateo,775132,346,0.000446376
478,2023,Deaths Due to Coronary Heart Disease,San Mateo,775132,1697,0.002189305
711,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,San Mateo,775132,224,0.000288983
78,2023,Deaths Due to All Cancers,Santa Barbara,451329,2024,0.004484533
369,2023,Deaths Due to Diabetes,Santa Barbara,451329,248,0.000549488
490,2023,Deaths Due to Coronary Heart Disease,Santa Barbara,451329,1147,0.002541383
723,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Santa Barbara,451329,201,0.000445351
61,2023,Deaths Due to All Cancers,Santa Clara,1962251,7078,0.003607082
383,2023,Deaths Due to Diabetes,Santa Clara,1962251,1457,0.000742515
476,2023,Deaths Due to Coronary Heart Disease,Santa Clara,1962251,3463,0.00176481
709,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Santa Clara,1962251,508,0.000258886
80,2023,Deaths Due to All Cancers,Santa Cruz,270067,1265,0.004684023
366,2023,Deaths Due to Diabetes,Santa Cruz,270067,129,0.000477659
477,2023,Deaths Due to Coronary Heart Disease,Santa Cruz,270067,480,0.001777337
730,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Santa Cruz,270067,133,0.00049247
112,2023,Deaths Due to All Cancers,Shasta,177692,1306,0.007349796
393,2023,Deaths Due to Diabetes,Shasta,177692,190,0.001069266
527,2023,Deaths Due to Coronary Heart Disease,Shasta,177692,911,0.005126849
753,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Shasta,177692,151,0.000849785
71,2023,Deaths Due to All Cancers,Sierra,3117,26,0.008341354
385,2023,Deaths Due to Diabetes,Sierra,3117,3,0.000962464
498,2023,Deaths Due to Coronary Heart Disease,Sierra,3117,16,0.005133141
720,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Sierra,3117,3,0.000962464
117,2023,Deaths Due to All Cancers,Siskiyou,43792,413,0.009430946
392,2023,Deaths Due to Diabetes,Siskiyou,43792,51,0.001164596
501,2023,Deaths Due to Coronary Heart Disease,Siskiyou,43792,197,0.004498539
766,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Siskiyou,43792,59,0.001347278
108,2023,Deaths Due to All Cancers,Solano,440198,2505,0.005690621
404,2023,Deaths Due to Diabetes,Solano,440198,495,0.001124494
481,2023,Deaths Due to Coronary Heart Disease,Solano,440198,904,0.002053621
718,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Solano,440198,194,0.000440711
87,2023,Deaths Due to All Cancers,Sonoma,491134,2934,0.00597393
373,2023,Deaths Due to Diabetes,Sonoma,491134,362,0.00073707
485,2023,Deaths Due to Coronary Heart Disease,Sonoma,491134,1340,0.00272838
721,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Sonoma,491134,248,0.000504954
109,2023,Deaths Due to All Cancers,Stanislaus,555955,2671,0.004804346
401,2023,Deaths Due to Diabetes,Stanislaus,555955,495,0.00089036
521,2023,Deaths Due to Coronary Heart Disease,Stanislaus,555955,1759,0.003163925
749,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Stanislaus,555955,355,0.000638541
103,2023,Deaths Due to All Cancers,Sutter,101160,515,0.005090945
380,2023,Deaths Due to Diabetes,Sutter,101160,71,0.000701858
510,2023,Deaths Due to Coronary Heart Disease,Sutter,101160,321,0.003173191
743,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Sutter,101160,59,0.000583234
115,2023,Deaths Due to All Cancers,Tehama,65266,475,0.007277909
396,2023,Deaths Due to Diabetes,Tehama,65266,66,0.001011246
528,2023,Deaths Due to Coronary Heart Disease,Tehama,65266,320,0.004903012
761,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Tehama,65266,64,0.000980602
67,2023,Deaths Due to All Cancers,Trinity,13291,97,0.007298172
397,2023,Deaths Due to Diabetes,Trinity,13291,15,0.001128583
496,2023,Deaths Due to Coronary Heart Disease,Trinity,13291,61,0.004589572
755,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Trinity,13291,14,0.001053344
100,2023,Deaths Due to All Cancers,Tulare,480788,1943,0.004041282
394,2023,Deaths Due to Diabetes,Tulare,480788,332,0.000690533
522,2023,Deaths Due to Coronary Heart Disease,Tulare,480788,1359,0.00282661
758,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Tulare,480788,340,0.000707172
105,2023,Deaths Due to All Cancers,Tuolumne,52353,429,0.008194373
390,2023,Deaths Due to Diabetes,Tuolumne,52353,73,0.00139438
506,2023,Deaths Due to Coronary Heart Disease,Tuolumne,52353,243,0.004641568
751,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Tuolumne,52353,45,0.00085955
82,2023,Deaths Due to All Cancers,Ventura,841439,4014,0.004770399
386,2023,Deaths Due to Diabetes,Ventura,841439,695,0.000825966
502,2023,Deaths Due to Coronary Heart Disease,Ventura,841439,2554,0.003035276
732,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Ventura,841439,452,0.000537175
92,2023,Deaths Due to All Cancers,Yolo,221718,889,0.004009598
395,2023,Deaths Due to Diabetes,Yolo,221718,164,0.000739678
487,2023,Deaths Due to Coronary Heart Disease,Yolo,221718,428,0.00193038
737,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Yolo,221718,102,0.000460044
110,2023,Deaths Due to All Cancers,Yuba,79089,389,0.00491851
406,2023,Deaths Due to Diabetes,Yuba,79089,80,0.001011519
524,2023,Deaths Due to Coronary Heart Disease,Yuba,79089,259,0.003274792
748,2023,Deaths Due to Chronic Liver Disease and Cirrhosis,Yuba,79089,48,0.000606911
